nct_id,title,status,conditions,interventions,age_criteria,locations,eligibility_text
NCT01102595,Neo-adjuvant Treatment With Temozolomide and Bevacizumab Previous to Temozolomide Plus Radiation Plus Bevacizumab Therapy in Unresectable Glioblastoma,COMPLETED,glioblastomas,DRUG: Temozolomide|DRUG: Bevacizumab|RADIATION: Standard radiation therapy,"ADULT, OLDER_ADULT","Grupo Español de Investigacion en Neurooncologia, Madrid, Madrid, 28001, Spain","in the last 20 years, only temozolomide has obtained indication for the treatment of high-grade glioma (hgg). temozolomide during and later radiation therapy has doubled one year survival and is the standard treatment for glioblastoma. but 30% of glioblastomas receive only a biopsy as they can't be resected and don't get benefit from this treatment. they and should be treated immediately after the biopsy to prevent neurological deterioration but in spite of this approach they often deteriorate neurologically during radiotherapy. . an effective pre-radiation treatment should improve their prognosis and allow them to complete concomitant radiotherapy and temozolomide treatment. bevacizumab in recurrent hgg displays 63% of objective responses when combined with irinotecan. but irinotecan is not the most active treatment in this disease.

we propose a phase ii, two arms, open label, randomized, multicentric study with 2 cycles of temozolomide before radiation therapy and concomitant temozolomide, in patients with glioblastoma and 'biopsy-only'. bevacizumab will be added to one arm."
NCT03903419,Feasibility Study of 68Ga-PSMA PET-CT and 18F-FDOPA PET-CT in Glioblastoma's Patients,UNKNOWN,glioblastomas,DIAGNOSTIC_TEST: Feasibility study for the realization of 68Ga-PSMA PET-CT and 18F-FDOPA PET-CT for identification of early recurrence in patients treated with radiotherapy for glioblastoma.,"ADULT, OLDER_ADULT","Hôpital Pierre WERTHEIMER - HCL, Bron, 69677, France|Centre Léon Berard, Lyon, 69008, France","this study is a non-randomized, prospective, multicentric feasibility study assessing 68ga-psma pet-ct and 18f-fdopa pet-ct to differentiate early recurrence from post-radiation modifications in patients treated with radiotherapy for glioblastoma.

patients with a mri performed since the end of the radiotherapy until 12 months of follow up after the end of radiotherapy, will be referred for both 68ga-psma and 18f-fdopa pet-ct, whatever the conclusion of the mri (post radiation modifications, relapse or doubtful mri).

the rationale of doing 68ga-psma and 18f-fdopa brain pet-ct in each case will be discussed in detail with the referring physician and an informed consent will be taken from each patient for the study. the two imaging studies will be done at least with a gap of 6 hours, using the same pet-ct scanner."
NCT06650605,Phase 1 Open-label Study of 123I-ATT001 in Subjects with Relapsed Glioblastoma,RECRUITING,glioma glioblastoma multiforme,DRUG: 123I-ATT001,"ADULT, OLDER_ADULT","University College London Hosptial, London, United Kingdom|University Hospital Southampton, Southampton, United Kingdom",phase i open-label trial of 123i-att001 monotherapy and in combination with treatment therapies in subjects with relapsed glioblastoma.
NCT05399524,Functional and Ultrasound Guided Resection of Glioblastoma,RECRUITING,glioma glioblastoma multiforme,OTHER: Standard of Care|OTHER: Additional pre- and intra-operative imaging,"ADULT, OLDER_ADULT","Queen Elizabeth Hospital, University Hospitals Birmingham NHSFT, Birmingham, B15 2TH, United Kingdom|Royal Sussex County Hospital, Brighton, BN2 5BE, United Kingdom|Southmead Hospital, North Bristol NHST, Bristol, BS10 5NB, United Kingdom|Addenbrookes Hospital, Cambridge University NHSFT, Cambridge, CB2 0QQ, United Kingdom|University Hospital of Wales, Cardiff & Vale University Health Board, Cardiff, CF14 4XW, United Kingdom|University Hospital, Coventry, Coventry, CV2 2DX, United Kingdom|Ninewells Hospital, NHS Tayside, Dundee, DD2 1SG, United Kingdom|The Royal Infirmary of Edinburgh, NHS Lothian, Edinburgh, EH16, United Kingdom|Hull Royal Infirmary, Hull, HU3 2JZ, United Kingdom|Leeds General Infirmary, Leeds, LS1 3EX, United Kingdom|The Walton Centre, Liverpool, L9 7LJ, United Kingdom|Royal London Hospital, Barts Health NHS Trust, London, E1 1BB, United Kingdom|King's College Hospital, London, SE5 9RS, United Kingdom|Charing Cross Hospital/St Mary's, Imperial College Healthcare NHS Trust, London, W6 8RF, United Kingdom|James Cook University Hospital, South Tees Hospitals NHSFT, Middlesbrough, TS4 3BW, United Kingdom|Royal Victoria Infirmary, Newcastle upon Tyne Hospitals NHSFT, Newcastle upon Tyne, NE1 4LP, United Kingdom|Queen's Medical Centre, Nottingham University Hospitals NHST, Nottingham, NG7 2UH, United Kingdom|The John Radcliffe Hospital, Oxford University Hospitals NHSFT, Oxford, OX3 9DU, United Kingdom|Derriford Hospital, University Hospitals Plymouth NHS Trust, Plymouth, PL6 8DH, United Kingdom|Royal Preston Hospital, Lancashire Teaching Hospitals NHSFT, Preston, PR2 9HT, United Kingdom|Queen's Hospital, Barking, Havering and Redbridge University Hospitals NHST, Romford, RM7 0AG, United Kingdom|Royal Hallamshire Hospital, Sheffield Teaching Hospitals NHS Foundation Trust, Sheffield, S10 2JF, United Kingdom|Southampton General Hospital, University Hospital Southampton NHSFT, Southampton, United Kingdom|Royal Stoke University Hospital, University Hospitals of North Midlands NHST, Stoke-on-Trent, ST4 6QG, United Kingdom",functional and ultrasound-guided resection of glioblastoma: assessing the use of additional imaging during surgery to improve outcomes for patients with glioblastoma brain tumours
NCT03990285,[18F]Fluciclovine in Post-treatment Glioblastoma ( Axumin ),COMPLETED,glioma glioblastoma multiforme,"DRUG: Axumin, Intravenous Solution","ADULT, OLDER_ADULT","Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States","subjects with histologically proven glioblastoma (gbm) who are suspected to have progression and are candidates for a surgical resection according to standard of care may be eligible for this study. subjects may participate in this study if they are at least 18 years of age.

positron emission tomography (pet/ct) imaging will be used to evaluate fluciclovine uptake at sites of suspected progression before planned surgery. in addition, clinical brain mri with and without contrast will be used to evaluate the tumor pre-operatively. this is a non-therapeutic trial in that imaging will not be used to direct treatment decisions.

investigators anticipate enrolling up to 30 subjects who will undergo a clinical brain mri examination with and without contrast and a research 18f-fluciclovine pet/ct scan of the brain prior to surgery. they will also have a blood draw preoperatively to collect samples for cfdna analysis. pet/ct imaging sessions will include an injection of approximately 5 mci (range for most studies is anticipated to be 5 mci +/- 20%) of 18f-fluciclovine."
NCT00936052,Hyperbaric Hyperoxygenation With Radiotherapy and Temozolomide in Adults With Newly Diagnosed Glioblastoma,UNKNOWN,glioblastomas|gliosarcoma,OTHER: Hyperbaric Oxygen Therapy,"ADULT, OLDER_ADULT","Long Island Brain Tumor Center at Neurological surgery P.C., Commack, New York, 11725, United States|Long Island Brain Tumor Center at Neurological Surgery P.C., Great Neck, New York, 11021, United States","standard treatment for glioblastomas includes radiation and chemotherapy with a drug called temozolomide (temodar); however, glioblastomas frequently develop resistance to standard treatment and recur or progress. glioblastomas are known to have decreased levels of oxygen compared to normal tissues. there is evidence that these lower oxygen levels in glioblastomas may contribute to their ability to resist treatment effects of radiation and chemotherapy. in this study we will look to increase the oxygen concentration within the glioblastoma by adding hyperbaric treatments (the experimental part of this study) to standard treatment with radiation and temozolomide in order to see whether increasing the oxygen concentration within the tumor increases the tumor-killing ability of standard radiation and chemotherapy.

in addition, the investigators are interested to evaluate the effect of this treatment protocol on a person's quality of life and level of stress, and, therefore, the investigators will ask subjects to complete several brief questionnaires while they are on-study."
NCT01252459,Amino-acid PET Versus MRI Guided Re-irradiation in Patients With Recurrent Glioblastoma Multiforme,UNKNOWN,recurrent glioma (glioblastoma multiforme),RADIATION: Radiation Therapy|RADIATION: Radiation Therapy,"ADULT, OLDER_ADULT","Department of Radiotherapy, University Hospital Freiburg, Freiburg I. Br., Baden-Wurttemberg, 79106, Germany",this study is designed to evaluate the impact of radiotherapy target volume delineation based on aa-pet compared to target volume delineation based on contrast enhanced t1 weighted mri (t1gd-mri) on the clinical outcome of patients with recurrent glioblastoma (gbm) as well as concerning therapeutic safety of the respective strategy.
NCT03879512,"Autologous Dendritic Cells, Metronomic Cyclophosphamide and Checkpoint Blockade in Children With Relapsed HGG",COMPLETED,childhood glioblastoma,DRUG: depletion of regulatory T cells|PROCEDURE: reoperation|BIOLOGICAL: cancer vaccine|BIOLOGICAL: checkpoint blockade,"CHILD, ADULT","University Children's Hospital, Würzburg, Bavaria, D-97080, Germany","this phase i/ii trials evaluates the feasibility, safety and efficacy of an individualized cancer vaccine, based on autologous, tumor-lysate loaded dendritic cells in children and adolescents with relapsed high-grade gliomas. in addition, regulatory t cells are depleted by a short cycle of metronomic cyclophosphamide upfront of the vaccine in order to facilitate induction of immune responses.

therapeutic dc vaccines are followed by four cycles of nivo/ipi double checkpoint blockade and a nivolumab monotherapy maintenance in order to optimize the induced t-cell response."
NCT04606316,Surgical Nivolumab And Ipilimumab For Recurrent GBM,ACTIVE_NOT_RECRUITING,glioblastoma|gbm|glioblastoma multiforme|grade iv astrocytoma,DRUG: Nivolumab-Placebo|DRUG: Nivolumab|DRUG: Ipilimumab-Placebo|DRUG: Ipilimumab|PROCEDURE: Surgery,"ADULT, OLDER_ADULT","University of California Los Angeles, Los Angeles, California, 90095, United States|Stanford University, Stanford, California, 94305, United States|Dana Farber Cancer Institute, Boston, Massachusetts, 02115, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States","this research trial is studying the safety and effectiveness of nivolumab in combination with ipilimumab and surgery when used in the treatment of recurrent glioblastoma.

the names of the study drugs involved in this study are:

* nivolumab
* ipilimumab
* placebo (iv solution with no medicine)
* zr-89 crefmirlimab berdoxam (optional sub-study)"
NCT01700569,Phase-1 Study of Folinic Acid to Modulate MGMT Gene in Glioblastoma,TERMINATED,grade iv astrocytoma|glioblastoma,DRUG: Temozolomide|DRUG: folinic acid at pharmacological dose is the escalated drug|RADIATION: High voltage radiation therapy (linear accelerator),"ADULT, OLDER_ADULT","Institut de Cacerologie de l'ouest - site Paul Papin, Angers, 49055, France|CHU de Lyon, Bron, 69677, France|ICO site Gauducheau, Nantes, 44805, France|CLCC Antoine Lacassagne, Nice, 06189, France","o6-méthylguanine méthyltransférase (mgmt) is the main repair gene after dna lesion induced by temozolomide in combination with radiation therapy of glioblastoma (gbm) in stupp.r et al published regimen. in preclinical models, it has been demonstrated that mgmt methylation (which is silencing the dna repair process) is achievable by folic acid. about half of the patients with operated gbm have an un-methylated mgmt gene status and therefore a poorer prognosis. a phase-1 dose escalation study is proposed with pharmacologic doses of folinic acid in combination with temozolomide and radiotherapy of operated gbm."
